pairId AP descriptorName
bark_1_2 0.4729 ASV_SIFT_1M_7
bark_1_3 0.3505 ASV_SIFT_1M_7
bark_1_4 0.3508 ASV_SIFT_1M_7
bark_1_5 0.2660 ASV_SIFT_1M_7
bark_1_6 0.1580 ASV_SIFT_1M_7
wall_1_2 0.7246 ASV_SIFT_1M_7
wall_1_3 0.6273 ASV_SIFT_1M_7
wall_1_4 0.3585 ASV_SIFT_1M_7
wall_1_5 0.0989 ASV_SIFT_1M_7
wall_1_6 0.0006 ASV_SIFT_1M_7
trees_1_2 0.2903 ASV_SIFT_1M_7
trees_1_3 0.2029 ASV_SIFT_1M_7
trees_1_4 0.0793 ASV_SIFT_1M_7
trees_1_5 0.0744 ASV_SIFT_1M_7
trees_1_6 0.0445 ASV_SIFT_1M_7
boat_1_2 0.5104 ASV_SIFT_1M_7
boat_1_3 0.4415 ASV_SIFT_1M_7
boat_1_4 0.1722 ASV_SIFT_1M_7
boat_1_5 0.1160 ASV_SIFT_1M_7
boat_1_6 0.0201 ASV_SIFT_1M_7
