pairId AP descriptorName
bark_1_2 0.4379 ASV_SIFT_1S
bark_1_3 0.3329 ASV_SIFT_1S
bark_1_4 0.3520 ASV_SIFT_1S
bark_1_5 0.2654 ASV_SIFT_1S
bark_1_6 0.1559 ASV_SIFT_1S
wall_1_2 0.7121 ASV_SIFT_1S
wall_1_3 0.6004 ASV_SIFT_1S
wall_1_4 0.3124 ASV_SIFT_1S
wall_1_5 0.0646 ASV_SIFT_1S
wall_1_6 0.0002 ASV_SIFT_1S
trees_1_2 0.2603 ASV_SIFT_1S
trees_1_3 0.1750 ASV_SIFT_1S
trees_1_4 0.0690 ASV_SIFT_1S
trees_1_5 0.0627 ASV_SIFT_1S
trees_1_6 0.0393 ASV_SIFT_1S
boat_1_2 0.4800 ASV_SIFT_1S
boat_1_3 0.4154 ASV_SIFT_1S
boat_1_4 0.1580 ASV_SIFT_1S
boat_1_5 0.1038 ASV_SIFT_1S
boat_1_6 0.0181 ASV_SIFT_1S
