pairId AP descriptorName
bark_1_2 0.3351 ASV_SIFT_BINARY
bark_1_3 0.2551 ASV_SIFT_BINARY
bark_1_4 0.3328 ASV_SIFT_BINARY
bark_1_5 0.2440 ASV_SIFT_BINARY
bark_1_6 0.1413 ASV_SIFT_BINARY
wall_1_2 0.6208 ASV_SIFT_BINARY
wall_1_3 0.4394 ASV_SIFT_BINARY
wall_1_4 0.1265 ASV_SIFT_BINARY
wall_1_5 0.0093 ASV_SIFT_BINARY
wall_1_6 0.0000 ASV_SIFT_BINARY
trees_1_2 0.1511 ASV_SIFT_BINARY
trees_1_3 0.0889 ASV_SIFT_BINARY
trees_1_4 0.0324 ASV_SIFT_BINARY
trees_1_5 0.0285 ASV_SIFT_BINARY
trees_1_6 0.0236 ASV_SIFT_BINARY
boat_1_2 0.3861 ASV_SIFT_BINARY
boat_1_3 0.3359 ASV_SIFT_BINARY
boat_1_4 0.1203 ASV_SIFT_BINARY
boat_1_5 0.0756 ASV_SIFT_BINARY
boat_1_6 0.0082 ASV_SIFT_BINARY
