pairId AP descriptorName
bark_1_2 0.0026 ASV_SURF_BINARY
bark_1_3 0.0006 ASV_SURF_BINARY
bark_1_4 0.0001 ASV_SURF_BINARY
bark_1_5 0.0003 ASV_SURF_BINARY
bark_1_6 0.0000 ASV_SURF_BINARY
wall_1_2 0.0112 ASV_SURF_BINARY
wall_1_3 0.0024 ASV_SURF_BINARY
wall_1_4 0.0001 ASV_SURF_BINARY
wall_1_5 0.0000 ASV_SURF_BINARY
wall_1_6 0.0000 ASV_SURF_BINARY
trees_1_2 0.0121 ASV_SURF_BINARY
trees_1_3 0.0105 ASV_SURF_BINARY
trees_1_4 0.0012 ASV_SURF_BINARY
trees_1_5 0.0006 ASV_SURF_BINARY
trees_1_6 0.0001 ASV_SURF_BINARY
boat_1_2 0.0172 ASV_SURF_BINARY
boat_1_3 0.0061 ASV_SURF_BINARY
boat_1_4 0.0054 ASV_SURF_BINARY
boat_1_5 0.0019 ASV_SURF_BINARY
boat_1_6 0.0001 ASV_SURF_BINARY
