pairId AP descriptorName
bark_1_2 0.0418 ASV_SURF_REAL
bark_1_3 0.0294 ASV_SURF_REAL
bark_1_4 0.0136 ASV_SURF_REAL
bark_1_5 0.0148 ASV_SURF_REAL
bark_1_6 0.0015 ASV_SURF_REAL
wall_1_2 0.1015 ASV_SURF_REAL
wall_1_3 0.0411 ASV_SURF_REAL
wall_1_4 0.0062 ASV_SURF_REAL
wall_1_5 0.0007 ASV_SURF_REAL
wall_1_6 0.0000 ASV_SURF_REAL
trees_1_2 0.0783 ASV_SURF_REAL
trees_1_3 0.0666 ASV_SURF_REAL
trees_1_4 0.0255 ASV_SURF_REAL
trees_1_5 0.0085 ASV_SURF_REAL
trees_1_6 0.0027 ASV_SURF_REAL
boat_1_2 0.1329 ASV_SURF_REAL
boat_1_3 0.0922 ASV_SURF_REAL
boat_1_4 0.0596 ASV_SURF_REAL
boat_1_5 0.0414 ASV_SURF_REAL
boat_1_6 0.0003 ASV_SURF_REAL
