pairId AP_SIFT AP_ASV_SIFT_1M_7
bark_1_2 0.446400 0.472900
bark_1_3 0.351300 0.350500
bark_1_4 0.383800 0.350800
bark_1_5 0.286300 0.266000
bark_1_6 0.176100 0.158000
boat_1_2 0.429400 0.510400
boat_1_3 0.366100 0.441500
boat_1_4 0.131300 0.172200
boat_1_5 0.085000 0.116000
boat_1_6 0.009900 0.020100
trees_1_2 0.244400 0.290300
trees_1_3 0.160500 0.202900
trees_1_4 0.058100 0.079300
trees_1_5 0.044700 0.074400
trees_1_6 0.022000 0.044500
wall_1_2 0.718100 0.724600
wall_1_3 0.585100 0.627300
wall_1_4 0.293400 0.358500
wall_1_5 0.062700 0.098900
wall_1_6 0.000600 0.000600
