pairId AP_SIFT AP_ASV_SIFT_1S
bark_1_2 0.446400 0.437900
bark_1_3 0.351300 0.332900
bark_1_4 0.383800 0.352000
bark_1_5 0.286300 0.265400
bark_1_6 0.176100 0.155900
boat_1_2 0.429400 0.480000
boat_1_3 0.366100 0.415400
boat_1_4 0.131300 0.158000
boat_1_5 0.085000 0.103800
boat_1_6 0.009900 0.018100
trees_1_2 0.244400 0.260300
trees_1_3 0.160500 0.175000
trees_1_4 0.058100 0.069000
trees_1_5 0.044700 0.062700
trees_1_6 0.022000 0.039300
wall_1_2 0.718100 0.712100
wall_1_3 0.585100 0.600400
wall_1_4 0.293400 0.312400
wall_1_5 0.062700 0.064600
wall_1_6 0.000600 0.000200
