recall,precision
0.000250438,1
0.000250438,0.5
0.000500877,0.666667
0.000751315,0.75
0.000751315,0.6
0.000751315,0.5
0.00100175,0.571429
0.00125219,0.625
0.00125219,0.555556
0.00150263,0.6
0.00150263,0.545455
0.00175307,0.583333
0.00175307,0.538462
0.00175307,0.5
0.00175307,0.466667
0.00200351,0.5
0.00225394,0.529412
0.00250438,0.555556
0.00275482,0.578947
0.00275482,0.55
0.00300526,0.571429
0.0032557,0.590909
0.0032557,0.565217
0.00350614,0.583333
0.00375657,0.6
0.00375657,0.576923
0.00400701,0.592593
0.00425745,0.607143
0.00425745,0.586207
0.00450789,0.6
0.00475833,0.612903
0.00500877,0.625
0.0052592,0.636364
0.00550964,0.647059
0.00550964,0.628571
0.00576008,0.638889
0.00601052,0.648649
0.00626096,0.657895
0.00651139,0.666667
0.00651139,0.65
0.00676183,0.658537
0.00701227,0.666667
0.00726271,0.674419
0.00726271,0.659091
0.00751315,0.666667
0.00776359,0.673913
0.00801402,0.680851
0.00826446,0.6875
0.0085149,0.693878
0.0085149,0.68
0.00876534,0.686275
0.00876534,0.673077
0.00876534,0.660377
0.00901578,0.666667
0.00926622,0.672727
0.00951665,0.678571
0.00976709,0.684211
0.0100175,0.689655
0.0100175,0.677966
0.010268,0.683333
0.0105184,0.688525
0.0105184,0.677419
0.0107688,0.68254
0.0110193,0.6875
0.0112697,0.692308
0.0112697,0.681818
0.0115202,0.686567
0.0117706,0.691176
0.012021,0.695652
0.0122715,0.7
0.0125219,0.704225
0.0125219,0.694444
0.0127724,0.69863
0.0130228,0.702703
0.0132732,0.706667
0.0135237,0.710526
0.0135237,0.701299
0.0135237,0.692308
0.0137741,0.696203
0.0140245,0.7
0.014275,0.703704
0.014275,0.695122
