recall,precision
0,0
0.000250438,0.5
0.000500877,0.666667
0.000500877,0.5
0.000500877,0.4
0.000751315,0.5
0.00100175,0.571429
0.00100175,0.5
0.00100175,0.444444
0.00125219,0.5
0.00150263,0.545455
0.00150263,0.5
0.00175307,0.538462
0.00200351,0.571429
0.00225394,0.6
0.00250438,0.625
0.00250438,0.588235
0.00250438,0.555556
0.00250438,0.526316
0.00275482,0.55
0.00300526,0.571429
0.00300526,0.545455
0.0032557,0.565217
0.0032557,0.541667
0.00350614,0.56
0.00375657,0.576923
0.00375657,0.555556
0.00400701,0.571429
0.00400701,0.551724
0.00425745,0.566667
0.00450789,0.580645
0.00450789,0.5625
0.00450789,0.545455
0.00475833,0.558824
0.00500877,0.571429
0.0052592,0.583333
0.00550964,0.594595
0.00576008,0.605263
0.00601052,0.615385
0.00601052,0.6
0.00626096,0.609756
0.00651139,0.619048
0.00676183,0.627907
0.00701227,0.636364
0.00726271,0.644444
0.00751315,0.652174
0.00776359,0.659574
0.00776359,0.645833
0.00801402,0.653061
0.00826446,0.66
0.00826446,0.647059
0.0085149,0.653846
0.00876534,0.660377
0.00901578,0.666667
0.00926622,0.672727
0.00951665,0.678571
0.00976709,0.684211
0.00976709,0.672414
0.0100175,0.677966
0.010268,0.683333
0.0105184,0.688525
0.0107688,0.693548
0.0110193,0.698413
0.0112697,0.703125
0.0112697,0.692308
0.0115202,0.69697
0.0117706,0.701493
0.012021,0.705882
0.0122715,0.710145
0.0122715,0.7
0.0125219,0.704225
0.0127724,0.708333
0.0130228,0.712329
0.0132732,0.716216
0.0135237,0.72
0.0137741,0.723684
0.0140245,0.727273
0.014275,0.730769
0.0145254,0.734177
0.0147759,0.7375
0.0150263,0.740741
0.0150263,0.731707
0.0150263,0.722892
0.0152767,0.72619
0.0152767,0.717647
0.0155272,0.72093
0.0157776,0.724138
0.0157776,0.715909
0.016028,0.719101
0.0162785,0.722222
0.0165289,0.725275
0.0167794,0.728261
0.0170298,0.731183
0.0170298,0.723404
0.0172802,0.726316
0.0175307,0.729167
0.0177811,0.731959
0.0180316,0.734694
0.018282,0.737374
0.018282,0.73
0.018282,0.722772
0.018282,0.715686
0.0185324,0.718447
0.0187829,0.721154
0.0187829,0.714286
0.0187829,0.707547
0.0190333,0.71028
0.0192837,0.712963
0.0195342,0.715596
0.0195342,0.709091
0.0195342,0.702703
0.0197846,0.705357
0.0197846,0.699115
0.0200351,0.701754
0.0200351,0.695652
0.0202855,0.698276
0.0205359,0.700855
0.0205359,0.694915
0.0207864,0.697479
0.0210368,0.7
0.0210368,0.694215
0.0210368,0.688525
0.0210368,0.682927
0.0212873,0.685484
0.0212873,0.68
0.0215377,0.68254
0.0217881,0.685039
0.0220386,0.6875
0.022289,0.689922
0.0225394,0.692308
0.0225394,0.687023
0.0225394,0.681818
0.0227899,0.684211
0.0227899,0.679105
0.0230403,0.681481
0.0230403,0.676471
0.0230403,0.671533
0.0230403,0.666667
0.0232908,0.669065
0.0235412,0.671429
0.0237916,0.673759
0.0237916,0.669014
0.0237916,0.664336
0.0240421,0.666667
0.0240421,0.662069
0.0240421,0.657534
0.0240421,0.653061
0.0240421,0.648649
0.0242925,0.651007
0.0242925,0.646667
0.0242925,0.642384
0.0242925,0.638158
0.024543,0.640523
0.024543,0.636364
0.0247934,0.63871
0.0247934,0.634615
0.0247934,0.630573
0.0247934,0.626582
0.0247934,0.622642
0.0247934,0.61875
0.0250438,0.621118
0.0250438,0.617284
0.0250438,0.613497
0.0250438,0.609756
0.0250438,0.606061
0.0252943,0.608434
0.0255447,0.610778
0.0255447,0.607143
0.0255447,0.60355
0.0257951,0.605882
0.0257951,0.602339
0.0257951,0.598837
0.0260456,0.601156
0.0260456,0.597701
0.026296,0.6
0.0265465,0.602273
0.0267969,0.60452
0.0267969,0.601124
0.0267969,0.597765
0.0270473,0.6
0.0270473,0.596685
0.0272978,0.598901
0.0275482,0.601093
0.0277986,0.603261
0.0277986,0.6
0.0280491,0.602151
0.0280491,0.59893
0.0280491,0.595745
0.0280491,0.592593
0.0280491,0.589474
0.0280491,0.586387
0.0282995,0.588542
0.0282995,0.585492
0.02855,0.587629
0.02855,0.584615
0.02855,0.581633
0.02855,0.57868
0.02855,0.575758
0.0288004,0.577889
0.0290508,0.58
0.0290508,0.577114
0.0293013,0.579208
0.0295517,0.581281
0.0295517,0.578431
0.0295517,0.57561
0.0295517,0.572816
0.0295517,0.570048
0.0298022,0.572115
0.0298022,0.569378
0.0298022,0.566667
0.0300526,0.56872
0.0300526,0.566038
