recall,precision
0,0
0,0
9.49758e-05,0.333333
9.49758e-05,0.25
0.000189952,0.4
0.000284927,0.5
0.000284927,0.428571
0.000284927,0.375
0.000379903,0.444444
0.000474879,0.5
0.000569855,0.545455
0.000569855,0.5
0.00066483,0.538462
0.000759806,0.571429
0.000854782,0.6
0.000854782,0.5625
0.000949758,0.588235
0.00104473,0.611111
0.00104473,0.578947
0.00104473,0.55
0.00104473,0.52381
0.00104473,0.5
0.00104473,0.478261
0.00113971,0.5
0.00113971,0.48
0.00123469,0.5
0.00132966,0.518519
0.00132966,0.5
0.00142464,0.517241
0.00142464,0.5
0.00142464,0.483871
0.00151961,0.5
0.00151961,0.484848
0.00151961,0.470588
0.00151961,0.457143
0.00151961,0.444444
0.00151961,0.432432
0.00151961,0.421053
0.00151961,0.410256
0.00161459,0.425
0.00161459,0.414634
0.00161459,0.404762
0.00161459,0.395349
0.00170956,0.409091
0.00180454,0.422222
0.00180454,0.413043
0.00189952,0.425532
0.00189952,0.416667
0.00189952,0.408163
0.00189952,0.4
0.00199449,0.411765
0.00199449,0.403846
0.00208947,0.415094
0.00208947,0.407407
0.00208947,0.4
0.00208947,0.392857
0.00208947,0.385965
0.00218444,0.396552
0.00218444,0.38983
0.00218444,0.383333
0.00218444,0.377049
0.00218444,0.370968
0.00218444,0.365079
0.00218444,0.359375
0.00227942,0.369231
0.00227942,0.363636
0.00237439,0.373134
0.00237439,0.367647
0.00237439,0.362319
0.00237439,0.357143
0.00246937,0.366197
0.00246937,0.361111
0.00256435,0.369863
0.00256435,0.364865
0.00256435,0.36
0.00256435,0.355263
0.00256435,0.350649
0.00265932,0.358974
0.00265932,0.35443
0.00265932,0.35
0.00265932,0.345679
0.00265932,0.341463
0.00265932,0.337349
0.00265932,0.333333
0.00265932,0.329412
0.0027543,0.337209
0.0027543,0.333333
0.00284927,0.340909
0.00284927,0.337079
0.00284927,0.333333
0.00284927,0.32967
0.00284927,0.326087
0.00284927,0.322581
0.00294425,0.329787
0.00294425,0.326316
0.00294425,0.322917
0.00294425,0.319588
0.00303923,0.326531
0.00303923,0.323232
0.00303923,0.32
0.0031342,0.326733
0.0031342,0.323529
0.0031342,0.320388
0.0031342,0.317308
0.0031342,0.314286
0.0031342,0.311321
0.00322918,0.317757
0.00322918,0.314815
0.00322918,0.311927
0.00322918,0.309091
0.00322918,0.306306
0.00332415,0.3125
0.00341913,0.318584
0.00341913,0.315789
0.00341913,0.313043
0.00341913,0.310345
0.00341913,0.307692
0.00341913,0.305085
0.00341913,0.302521
0.00341913,0.3
0.00341913,0.297521
0.00341913,0.295082
0.0035141,0.300813
0.0035141,0.298387
0.0035141,0.296
0.0035141,0.293651
0.0035141,0.291339
0.0035141,0.289062
0.0035141,0.286822
0.0035141,0.284615
0.0035141,0.282443
