recall,precision
0,0
0,0
0,0
0,0
0.000250438,0.2
0.000250438,0.166667
0.000500877,0.285714
0.000500877,0.25
0.000500877,0.222222
0.000500877,0.2
0.000751315,0.272727
0.000751315,0.25
0.000751315,0.230769
0.000751315,0.214286
0.00100175,0.266667
0.00100175,0.25
0.00100175,0.235294
0.00100175,0.222222
0.00100175,0.210526
0.00100175,0.2
0.00100175,0.190476
0.00100175,0.181818
0.00125219,0.217391
0.00125219,0.208333
0.00150263,0.24
0.00175307,0.269231
0.00175307,0.259259
0.00200351,0.285714
0.00200351,0.275862
0.00225394,0.3
0.00225394,0.290323
0.00225394,0.28125
0.00225394,0.272727
0.00225394,0.264706
0.00225394,0.257143
0.00225394,0.25
0.00250438,0.27027
0.00250438,0.263158
0.00250438,0.25641
0.00275482,0.275
0.00300526,0.292683
0.0032557,0.309524
0.0032557,0.302326
0.00350614,0.318182
0.00375657,0.333333
0.00400701,0.347826
0.00425745,0.361702
0.00425745,0.354167
0.00450789,0.367347
0.00450789,0.36
0.00475833,0.372549
0.00500877,0.384615
0.00500877,0.377358
0.0052592,0.388889
0.00550964,0.4
0.00550964,0.392857
0.00550964,0.385965
0.00550964,0.37931
0.00576008,0.38983
0.00576008,0.383333
0.00576008,0.377049
0.00576008,0.370968
0.00601052,0.380952
0.00601052,0.375
0.00601052,0.369231
0.00626096,0.378788
0.00626096,0.373134
0.00626096,0.367647
0.00626096,0.362319
0.00626096,0.357143
0.00626096,0.352113
0.00651139,0.361111
0.00651139,0.356164
0.00676183,0.364865
0.00701227,0.373333
0.00726271,0.381579
0.00726271,0.376623
0.00726271,0.371795
0.00751315,0.379747
0.00776359,0.3875
0.00776359,0.382716
0.00776359,0.378049
0.00776359,0.373494
0.00801402,0.380952
0.00801402,0.376471
0.00801402,0.372093
0.00826446,0.37931
0.0085149,0.386364
0.0085149,0.382022
0.00876534,0.388889
0.00901578,0.395604
0.00901578,0.391304
0.00901578,0.387097
0.00901578,0.382979
0.00901578,0.378947
0.00926622,0.385417
0.00926622,0.381443
0.00951665,0.387755
0.00951665,0.383838
0.00951665,0.38
0.00951665,0.376238
0.00951665,0.372549
0.00951665,0.368932
0.00976709,0.375
0.0100175,0.380952
0.0100175,0.377358
0.0100175,0.373832
0.0100175,0.37037
0.010268,0.376147
0.0105184,0.381818
0.0107688,0.387387
0.0110193,0.392857
0.0112697,0.39823
0.0112697,0.394737
0.0112697,0.391304
0.0115202,0.396552
0.0115202,0.393162
0.0115202,0.38983
0.0117706,0.394958
0.0117706,0.391667
0.0117706,0.38843
0.012021,0.393443
0.012021,0.390244
0.012021,0.387097
0.012021,0.384
0.012021,0.380952
0.012021,0.377953
